"geno_id_Meng","year","predicted.value","std.error","status"
"12_37-Parent BB Ent 8","23",9.7870039689268,0.854219847625917,"Estimable"
"12_37-Parent BB Ent 8","22",8.231828638751,0.854339454531207,"Estimable"
"12_38-Parent BB Ent 8","23",8.26583539515455,0.854219847625917,"Estimable"
"12_38-Parent BB Ent 8","22",6.71066006497874,0.854339454531207,"Estimable"
"12_39-Parent BB Ent 8","23",10,0.854219847625917,"Estimable"
"12_39-Parent BB Ent 8","22",8.71066006497875,0.854339454531207,"Estimable"
"12_4-Cross BB14-1-a","23",7.30817254269903,0.854219847625917,"Estimable"
"12_4-Cross BB14-1-a","22",5.75299721252323,0.854339454531207,"Estimable"
"12_40-Parent BB Ent 8","23",10,0.854219847625917,"Estimable"
"12_40-Parent BB Ent 8","22",9.18949149120651,0.854339454531207,"Estimable"
"12_5-Cross BB14-1-a","23",8.7446668213823,0.854219847625917,"Estimable"
"12_5-Cross BB14-1-a","22",7.1894914912065,0.854339454531207,"Estimable"
"12_6-Cross BB14-1-a","23",7.78700396892679,0.854219847625917,"Estimable"
"12_6-Cross BB14-1-a","22",6.23182863875098,0.854339454531207,"Estimable"
"12_7-Cross BB14-1-a","23",7.30817254269903,0.854219847625917,"Estimable"
"12_7-Cross BB14-1-a","22",5.75299721252323,0.854339454531207,"Estimable"
"12_8-Cross BB14-1-a","23",3,1.18236334506035,"Estimable"
"12_8-Cross BB14-1-a","22",1.4448246698242,1.18440277773192,"Estimable"
"12_9-Cross BB14-1-a","23",8.30817254269903,0.854219847625917,"Estimable"
"12_9-Cross BB14-1-a","22",6.75299721252323,0.854339454531207,"Estimable"
"13_1-Cross BB14-13p","23",5.35050969024352,0.854219847625917,"Estimable"
"13_1-Cross BB14-13p","22",3.79533436006772,0.854339454531207,"Estimable"
"13_10-Cross BB14-13p","23",2.5551753301758,1.23548221880245,"Estimable"
"13_10-Cross BB14-13p","22",0.999999999999996,1.23352724040462,"Estimable"
"13_11-Parent CT3-08","23",2.26583539515454,0.854219847625917,"Estimable"
"13_11-Parent CT3-08","22",0.710660064978742,0.854339454531207,"Estimable"
"13_13-Parent CT3-08","23",5.5551753301758,1.23548221880245,"Estimable"
"13_13-Parent CT3-08","22",4,1.23352724040462,"Estimable"
"13_15-Parent CT3-08","23",4.70232967383781,0.854219847625917,"Estimable"
"13_15-Parent CT3-08","22",3.14715434366201,0.854339454531207,"Estimable"
"13_16-Parent CT3-08","23",3.65999252629332,0.854219847625917,"Estimable"
"13_16-Parent CT3-08","22",2.10481719611752,0.854339454531207,"Estimable"
"13_17-Parent CT3-08","23",4.18116110006556,0.854219847625917,"Estimable"
"13_17-Parent CT3-08","22",2.62598576988976,0.854339454531207,"Estimable"
"13_18-Parent CT3-08","23",3.18116110006557,0.854219847625917,"Estimable"
"13_18-Parent CT3-08","22",1.62598576988976,0.854339454531207,"Estimable"
"13_19-Parent CT3-08","23",3.18116110006557,0.854219847625917,"Estimable"
